evidence_id,date,claim,status,evidence_level,model_input_version,code_commit,command,expected,actual,tolerance,artifact_paths,limitations,owner
V-20260804-001,2026-08-04,"几何状态传播修正后的MATLAB快速单元测试能够被统一入口发现并全部通过",verified,supporting-verification,"MATLAB R2024b; geometry commit 058c587",058c587,"addpath('experiments'); results = run_unit_tests();","0 failed; 0 incomplete","43 passed; 0 failed; 0 incomplete; 1.077 s","exact test status","experiments/run_unit_tests.m; tests/","只验证快速单元测试中的公共接口行为，不等于论文基线、物理模型或稳定性结论已被重新验证",Codex
G-20260804-001,2026-08-04,"旋转Hermitian几何模块可从受版本约束的作者频响夹具复现自洽的描述性诊断产物",verified,E1,"tracked author frequency-response fixture; 0.1-5 Hz; 81 points per case",058c587,"run_inf_bus_hermitian_geometry(); runInfBusHermitianGeometryTest","两算例各81个频点；数值均有限；摘要与CSV一致；分类未确认不得输出总体resolved","162 rows; stable strict=35; unstable strict=0; stable min=-0.436779202587; unstable min=-0.442460054276; 0 classification/overall pending; integration test 1 passed","summary extrema absolute error < 1e-12; exact row and status counts","experiments/geometry/fixtures/author_inf_bus_converter_frequency_response.csv; results/geometry/baseline_hermitian_geometry.csv; results/geometry/summary.json","只验证程序执行和产物自洽；两个算例同时改变阻尼、电网阻抗、工作点和无功控制；H/G项只是临界方向上的代数分解，不是物理因果或闭环稳定裕度",Codex
M-20260804-001,2026-08-04,"作者适配器的端口方向、基值和功率—极坐标变换已按论文v2、作者代码与一阶线性化交叉核对并形成显式勘误",verified,source-cross-check,"paper v2 source; author repository v1.0.0 commit ef67c7a; author infinite-bus workbook",same-commit,"manual formula/code/workbook cross-check","E C F量纲和互逆关系一致；网络侧-C与端口方向一致；未知Park缩放保持显式未确认","修正版E C F已写入规范；识别v2式(10)(11)转录错误与原计划遗漏的多机相位展宽约束","exact symbolic identities; source agreement","docs/specs/model-and-port-conventions.md; docs/specs/algorithms/mixed-gain-phase-evaluator/implementation-plan.md","尚未以有限差分和非单位工作点自动测试修正版变换；Park缩放与3/2系数归属未由来源确认",Codex
P-20260804-001,2026-08-04,"严格扇形矩阵可由旋转后的Hermitian矩阵对计算合同分解意义下的连续相位区间",verified,analytic-unit,"analytic matrices and congruence transforms; MATLAB R2024b",62f3a0a,"run_matlab_test_file tests/computeStrictSectorialPhaseIntervalTest.m","正定、旋转、对角相位、跨分支、缩放和合同变换结果与解析值一致；非扇形和待定不输出相位","9 passed; 0 failed; 0 incomplete","phase absolute error <= 1e-8 in invariance tests","src/computeStrictSectorialPhaseInterval.m; tests/computeStrictSectorialPhaseIntervalTest.m","只支持严格扇形；准扇形和半扇形保持待定；尚未完成作者全频响应回归",Codex
C-20260804-001,2026-08-04,"有限频率样本上的混合小增益—小相位评价器能够执行增益兜底、相位兜底和多机总体相位展宽约束",verified,logic-unit,"analytic converter/network matrices; MATLAB R2024b",62f3a0a,"run_matlab_test_file tests/evaluateMixedGainPhaseSamplesTest.m; experiments/run_unit_tests.m","逻辑分支、病态网络和有限网格/定理状态分层符合计划","evaluator 9 passed; full regression 61 passed; 0 failed; 0 incomplete","exact status and reason-code assertions","src/evaluateMixedGainPhaseSamples.m; tests/evaluateMixedGainPhaseSamplesTest.m","尚未接入动态E C F整形和作者案例；有限网格通过不能单独确认全频定理；判据未确认不等于失稳",Codex
T-20260804-001,2026-08-04,"修正版功率极坐标E C F及动态混合整形在非单位工作点和跨机耦合网络上满足有限差分与互联恒等式",verified,analytic-unit,"nonunit analytic operating points; MATLAB R2024b",e500c6d,"buildPowerPolarLinearizationTest; buildVirtualImpedanceWeightingSamplesTest; buildMixedLoopShapingSamplesTest","有限差分、互逆、WE^-1方向、跨机左右块和病态F状态均有独立断言","9+6+8 passed; 0 failed; max author cond(F)=22.2679013; max identity residual <1.3e-15","finite-difference tolerances and exact status assertions","src/buildPowerPolarLinearization.m; src/buildVirtualImpedanceWeightingSamples.m; src/buildMixedLoopShapingSamples.m; tests/","动态前提未评价；作者数据采用load-positive约定；不证明任意Park缩放",Codex
F-20260804-001,2026-08-04,"同一作者Fig.8工作簿仅改变阻尼D得到的双工况原始频响和闭环动态谱可由干净克隆夹具复现",verified,author-regression,"author v1.0.0 ef67c7a; Simplus local snapshot v2026-Mar-9 with upstream commit unavailable; Fig8 workbook SHA256 5DD0FACC...; MATLAB R2024b",0a19c4f,"export_author_fig8_raw_fixture; authorFig8RawFixtureTest; exportAuthorFig8RawFixtureTest","D=0.05旧基线与新受控端点在1000点频响和按1e-7 Hz排除平凡零模态后的动态极点及返回零点谱上一致；夹具可确定性再生成","2000 frequency rows; 80 spectrum rows; fixture test 1 passed; regeneration test 1 passed","Y abs 1e-10 rel 1e-9; spectra abs 1e-8 Hz; CSV %.17g","experiments/baseline/fixtures; experiments/baseline/export_author_fig8_raw_fixture.m","Simplus上游commit不可由本地快照核验；作者工作簿与MAT仅为本地来源且不进入Git；论文1.2Hz与模型0.5781Hz差异仍未解释",Codex
R-20260804-001,2026-08-04,"Fig.8受控阻尼回归能区分D=0.05的75个未覆盖样点与D=0.5的零未覆盖样点并与闭环极点符号交叉核对",verified,author-regression,"tracked raw Fig8 fixture; corrected dynamic shaping; seeded phase branch",0a19c4f,"run_matlab_test_file tests/runAuthorFig8MixedRegressionTest.m","失稳案例存在右半平面闭环极点且判据有未覆盖频带；稳定案例极点在左半平面且采样点均覆盖","1 passed; D=.05 pole real +0.0211544371 Hz and 75 uncovered; D=.5 pole real -0.289891361 Hz and 0 uncovered","exact counts; pole abs 1e-9 Hz; identity residual <2e-15","experiments/baseline/run_author_fig8_mixed_regression.m; tests/runAuthorFig8MixedRegressionTest.m","相位依赖显式种子和最近邻分支假设；采样接口不评价论文定理；未覆盖不等同于失稳",Codex
D-20260810-001,2026-08-10,"作者Fig.8同一模型的D-kappa/SCR参数域可同时计算闭环特征根参考与有限网格混合判据覆盖状态",verified,E1,"author v1.0.0 ef67c7a; pinned Fig8 workbook; MATLAB R2024b; 11 kappa x 16 D; 121 frequencies per point",5991e5a,"run_fig8_parameter_domain_comparison","176点分类可重算且判据覆盖区不越出闭环参考稳定区","45 criterion-covered-stable; 96 stable-not-covered; 35 unstable-not-covered; 0 numerical-pending; 0 consistency-violation","exact counts; anchor Y abs error <1e-9; anchor pole real error <1e-8 Hz","experiments/comparison/run_fig8_parameter_domain_comparison.m; results/comparison/fig8-damping-grid-strength/parameter_domain.csv; results/comparison/fig8-damping-grid-strength/summary.json","121点频率网格和90角初始分类网格不是连续全频定理；相位依赖最近邻分支假设；闭环特征根只是冻结模型参考",Codex
L-20260810-001,2026-08-10,"团队低频VSM模型以标幺频率状态和基频关系构造状态矩阵并提供稳定临界失稳解析预设",verified,analytic-unit,"NetworkTopology/1.0; flat lossless active-power model; Python SciPy",5991e5a,"python -m unittest discover -s backend/tests -p test_*.py -v","解析三阶多项式 临界阻尼 Kron消元 极点和线性响应均受测试约束","相关低频模型与API扫描测试全部通过; full Python 56/56","exact class assertions; analytic pole tolerances defined in tests","backend/core/reduced_order_model.py; backend/core/reduced_order_scan.py; backend/tests/test_reduced_order_model.py; backend/tests/test_reduced_order_scan.py","仅适用于相角-标幺频率-有功测量降阶模型；R Q-V 内环 限幅 负荷动态和电磁暂态未纳入",Codex
